rank,topic_ko,topic_en,macro,llm_centric,accepted_2023_2026,score,growth_rel_per_year,growth_per_year,share_2025_2026,open_frac,heavy_frac,llm_frac,theory_frac,reviewer_value_pct,iclr_accept_rate_2024_2026,top10_stability,pct_growth,pct_value,pct_open,pct_lowbar,pct_uncrowd
53,단백질 구조와 3D 분자 생성,Protein Structure and 3D Molecule Generation,AI for Science,0,326,0.5028,0.1649,0.0224,0.00895,0.0828,0.0644,0.0767,0.0215,41.7,0.363,0.0,0.7248,0.4174,0.4954,0.4587,0.1284
54,딥러닝 옵티마이저와 학습률,Deep Learning Optimizers,"이론, 최적화",0,313,0.5023,0.0268,-0.0969,0.00696,0.1406,0.1118,0.2173,0.3003,56.9,0.225,0.0,0.5688,0.5688,0.9174,0.211,0.2752
55,"3D 에셋, 장면 생성",3D Asset and Scene Generation,생성 모델,0,267,0.5018,0.4271,0.2545,0.00719,0.0524,0.0712,0.2322,0.015,48.6,0.339,0.0,0.8716,0.4862,0.1376,0.3945,0.2385
56,신경망 기반 조합 최적화,Neural Combinatorial Optimization,"이론, 최적화",0,284,0.4945,0.0265,-0.0979,0.00687,0.0599,0.0282,0.0915,0.1373,37.6,0.262,0.0,0.5596,0.3761,0.2202,0.7523,0.3028
57,확산 모델 설계와 학습,Diffusion Model Design and Training,생성 모델,0,488,0.4936,0.0991,-0.0342,0.01266,0.1004,0.1025,0.0799,0.0328,65.1,0.34,0.0,0.6606,0.6514,0.6972,0.2385,0.0092
58,백도어 공격과 데이터 오염,Backdoor Attacks and Data Poisoning,"신뢰성, 안전, 프라이버시",0,215,0.4904,-0.1254,-0.2313,0.00409,0.1116,0.0326,0.093,0.1302,11.0,0.202,0.0,0.3303,0.1101,0.789,0.7064,0.7431
59,인증된 강건성과 랜덤 스무딩,Certified Robustness and Randomized Smoothing,"신뢰성, 안전, 프라이버시",0,165,0.4894,-0.3386,-0.4183,0.00254,0.1515,0.0364,0.0364,0.3818,39.9,0.266,0.012,0.0183,0.3991,0.945,0.6606,0.9725
60,불확실성 정량화와 보정,Uncertainty Quantification and Calibration,"확률, 불확실성, 인과",0,200,0.4881,-0.1449,-0.2484,0.0038,0.075,0.03,0.045,0.22,38.1,0.29,0.0,0.2936,0.3807,0.3945,0.7431,0.789
61,차분 프라이버시(DP),Differential Privacy,"신뢰성, 안전, 프라이버시",0,421,0.4876,-0.1716,-0.2708,0.00829,0.0974,0.0641,0.1045,0.3682,96.8,0.294,0.001,0.2202,0.9679,0.6422,0.4679,0.1468
62,연속 학습과 파국적 망각,Continual Learning and Catastrophic Forgetting,"연합, 연속, 전이 학습",0,265,0.4876,0.0727,-0.0581,0.00682,0.0943,0.0906,0.1623,0.1019,49.5,0.199,0.0,0.6514,0.4954,0.6055,0.2844,0.3119
63,의료 영상 분할과 병리 분석,Medical Image Segmentation and Pathology,"비전, 멀티모달",0,182,0.4867,0.5039,0.323,0.00496,0.0714,0.1484,0.1429,0.0385,40.8,0.184,0.002,0.8991,0.4083,0.3211,0.1101,0.5963
64,비디오 행동 인식과 추적,Video Action Recognition and Tracking,"비전, 멀티모달",0,224,0.4837,0.2673,0.1165,0.0058,0.0625,0.1071,0.0893,0.0089,48.6,0.246,0.0,0.8165,0.4862,0.2706,0.2202,0.4587
65,"데이터 가치, 기여도와 선택","Data Valuation, Attribution and Selection","평가, 데이터",0,569,0.4798,-0.1564,-0.2582,0.01162,0.109,0.0685,0.0826,0.2671,86.7,0.293,0.0,0.2844,0.867,0.7615,0.4128,0.0367
66,소재 과학과 원자 수준 모델링,Materials Science and Atomistic Modeling,AI for Science,0,166,0.478,0.1477,0.0065,0.00461,0.0241,0.0723,0.1084,0.0301,50.0,0.323,0.0,0.7156,0.5,0.0092,0.3761,0.6789
67,"기상, 기후 예측과 원격 탐사","Weather, Climate and Remote Sensing",AI for Science,0,178,0.478,0.4354,0.2616,0.0052,0.0618,0.1461,0.0787,0.0281,45.9,0.201,0.0,0.8807,0.4587,0.2477,0.1193,0.5505
68,자율주행과 궤적 예측,Autonomous Driving and Trajectory Prediction,"로보틱스, 체화",0,196,0.4766,0.6916,0.4891,0.00568,0.0561,0.0816,0.1735,0.0,21.1,0.229,0.002,0.9358,0.211,0.1651,0.3211,0.4862
69,"단일세포, 공간 전사체 분석",Single-Cell and Spatial Transcriptomics,AI for Science,0,143,0.4766,1.023,0.7749,0.00474,0.0839,0.1888,0.0839,0.035,15.6,0.241,0.018,0.9725,0.156,0.5046,0.055,0.6422
70,표 데이터 딥러닝,Deep Learning for Tabular Data,"시계열, 표 데이터, 추천",0,125,0.4761,0.0287,-0.097,0.00301,0.112,0.216,0.408,0.024,43.1,0.184,0.008,0.578,0.4312,0.7982,0.0275,0.8991
71,시계열 표현 학습과 생성,Time Series Representation and Generation,"시계열, 표 데이터, 추천",0,228,0.4729,0.0661,-0.0634,0.00508,0.0921,0.1184,0.0921,0.0439,44.0,0.212,0.0,0.6422,0.4404,0.5963,0.1835,0.5688
72,NeRF와 3D 장면 재구성,NeRF and 3D Scene Reconstruction,"비전, 멀티모달",0,453,0.4729,0.2535,0.1043,0.01036,0.0618,0.1015,0.0199,0.0265,61.0,0.377,0.0,0.8073,0.6101,0.2569,0.2477,0.0826
73,멀티에이전트 강화학습,Multi-Agent Reinforcement Learning,"강화학습, 제어",0,258,0.4716,-0.0022,-0.1238,0.00615,0.0736,0.0271,0.093,0.1744,10.5,0.235,0.0,0.5321,0.1055,0.3578,0.7798,0.422
74,GAN과 생성 모델링 이론,GANs and Generative Modeling Theory,생성 모델,0,199,0.4716,-0.2188,-0.3138,0.00381,0.0905,0.0553,0.0553,0.1407,67.0,0.26,0.0,0.1651,0.6697,0.5596,0.5046,0.7798
75,분포 외(OOD) 탐지,Out-of-Distribution Detection,"신뢰성, 안전, 프라이버시",0,155,0.4686,-0.2575,-0.3473,0.0029,0.0968,0.0129,0.1032,0.1355,9.6,0.231,0.009,0.1101,0.0963,0.6284,0.9174,0.9266
76,개념 병목 모델(CBM),Concept Bottleneck Models,"딥러닝의 과학, 해석",0,114,0.4656,0.0312,-0.0937,0.00305,0.1053,0.0965,0.1579,0.0702,8.7,0.241,0.002,0.5963,0.0872,0.7431,0.2752,0.8899
77,비지도 이상 탐지,Unsupervised Anomaly Detection,"신뢰성, 안전, 프라이버시",0,170,0.461,0.2923,0.1351,0.00482,0.0412,0.0647,0.1353,0.0529,13.8,0.233,0.0,0.8349,0.1376,0.055,0.4495,0.6239
78,모방 학습과 역강화학습,Imitation Learning and Inverse RL,"강화학습, 제어",0,169,0.4603,-0.0884,-0.199,0.00363,0.0769,0.0651,0.0769,0.1834,44.0,0.371,0.0,0.3945,0.4404,0.4083,0.4404,0.8257
79,로봇 조작과 VLA 모델,Robot Manipulation and VLA Models,"로보틱스, 체화",0,391,0.4564,0.7347,0.5214,0.01172,0.0409,0.3325,0.2609,0.0179,78.9,0.397,0.007,0.9633,0.789,0.0459,0.0,0.0275
80,연합학습 보안과 프라이버시,Federated Learning Security and Privacy,"신뢰성, 안전, 프라이버시",0,128,0.4523,-0.2649,-0.3534,0.00258,0.0781,0.0,0.0703,0.25,10.1,0.117,0.01,0.0826,0.1009,0.422,0.9908,0.9633
81,시계열 예측,Time Series Forecasting,"시계열, 표 데이터, 추천",0,331,0.4509,0.3788,0.2103,0.00925,0.0846,0.1843,0.1631,0.0604,42.2,0.195,0.0,0.8624,0.422,0.5321,0.0642,0.1193
82,분자 성질 예측과 신약 개발,Molecular Property Prediction and Drug Discovery,AI for Science,0,238,0.4445,0.0354,-0.0913,0.00625,0.0798,0.0714,0.2395,0.0378,28.9,0.257,0.0,0.6055,0.289,0.4495,0.3853,0.4128
83,월드 모델과 시각 강화학습,World Models and Visual RL,"강화학습, 제어",0,268,0.4436,-0.1632,-0.265,0.00503,0.1231,0.1157,0.1119,0.0709,67.0,0.312,0.0,0.2569,0.6697,0.844,0.1927,0.578
84,"안전, 강건 강화학습",Safe and Robust RL,"강화학습, 제어",0,178,0.4417,-0.1083,-0.216,0.00392,0.0674,0.0281,0.0225,0.3202,11.0,0.267,0.0,0.367,0.1101,0.2936,0.7615,0.7523
85,3D 포인트 클라우드 학습,3D Point Cloud Learning,"비전, 멀티모달",0,172,0.4376,-0.0263,-0.1424,0.0036,0.0581,0.064,0.0523,0.0465,28.9,0.261,0.0,0.4862,0.289,0.2018,0.4771,0.844
86,대조적 자기지도 학습 이론,Contrastive Self-Supervised Learning Theory,"딥러닝의 과학, 해석",0,162,0.4321,-0.2984,-0.3846,0.00295,0.1728,0.0741,0.0247,0.2407,45.9,0.31,0.0,0.055,0.4587,0.9817,0.3394,0.9174
87,적대적 훈련과 강건성,Adversarial Training and Robustness,"신뢰성, 안전, 프라이버시",0,217,0.4245,-0.2941,-0.38,0.00379,0.129,0.0323,0.0553,0.2212,6.9,0.253,0.0,0.0642,0.0688,0.8716,0.7202,0.8073
88,확산 정책과 궤적 계획,Diffusion Policies and Planning,"강화학습, 제어",0,250,0.4211,0.2268,0.0767,0.00691,0.036,0.112,0.016,0.084,55.0,0.373,0.0,0.7615,0.5505,0.0183,0.2018,0.2936
89,비디오 생성과 편집,Video Generation and Editing,생성 모델,0,334,0.4156,1.1653,0.9021,0.01058,0.0569,0.1677,0.0958,0.018,31.2,0.346,0.0,0.9908,0.3119,0.1835,0.0917,0.055
90,GNN 메시지 전달과 표현력,GNN Message Passing and Expressivity,"그래프, 기하",0,481,0.4156,-0.3006,-0.3857,0.00926,0.1206,0.0229,0.0229,0.2245,28.4,0.239,0.0,0.0459,0.2844,0.8349,0.8349,0.1101
91,"음성, 오디오와 음악 모델링","Speech, Audio and Music Modeling","음성, 언어",0,383,0.4124,0.1455,0.0044,0.01041,0.0627,0.1227,0.3629,0.0131,56.4,0.308,0.0,0.6972,0.5642,0.2844,0.1651,0.0642
92,신경 연산자와 PDE,Neural Operators and PDEs,AI for Science,0,271,0.4124,-0.0444,-0.1605,0.00651,0.0443,0.0627,0.0185,0.1218,50.9,0.241,0.0,0.4587,0.5092,0.0917,0.4862,0.3761
93,표현 유사도와 객체 중심 학습,Representation Similarity and Object-Centric Learning,"딥러닝의 과학, 해석",0,342,0.4092,-0.1062,-0.2152,0.00725,0.1111,0.0994,0.038,0.0819,45.0,0.302,0.0,0.3761,0.4495,0.7798,0.2661,0.2294
94,T2I 생성과 이미지 편집,Text-to-Image Generation and Editing,생성 모델,0,391,0.4028,0.3368,0.1744,0.01037,0.0486,0.0767,0.3018,0.0102,20.2,0.291,0.0,0.8532,0.2018,0.1101,0.3303,0.0734
95,비전 트랜스포머(ViT),Vision Transformers,"비전, 멀티모달",0,215,0.3968,-0.104,-0.2123,0.00412,0.0791,0.1395,0.0698,0.014,55.5,0.236,0.0,0.3853,0.555,0.4312,0.1284,0.7339
96,임베딩 기반 정보 검색,Embedding-Based Retrieval,"시계열, 표 데이터, 추천",0,148,0.3899,0.1469,0.0069,0.00376,0.0541,0.1351,0.3649,0.0743,18.8,0.259,0.0,0.7064,0.1881,0.1468,0.1468,0.8165
97,지식 증류(KD),Knowledge Distillation,"효율, 시스템",0,130,0.3748,-0.1321,-0.2382,0.00295,0.0846,0.0846,0.2154,0.1077,14.2,0.255,0.0,0.3211,0.1422,0.5413,0.3119,0.9083
98,변분 추론과 베이지안 딥러닝,Variational Inference and Bayesian Deep Learning,"확률, 불확실성, 인과",0,343,0.3743,-0.1939,-0.2904,0.00635,0.0437,0.0671,0.0321,0.2536,79.8,0.347,0.0,0.1927,0.7982,0.0734,0.422,0.4037
99,"탐색, 목표 조건 강화학습",Exploration and Goal-Conditioned RL,"강화학습, 제어",0,427,0.3734,-0.1148,-0.2224,0.0093,0.0679,0.0539,0.1171,0.1499,42.7,0.306,0.0,0.3394,0.4266,0.3028,0.5229,0.1009
100,VAE와 희소 오토인코더,VAEs and Sparse Autoencoders,생성 모델,0,139,0.3725,-0.2617,-0.3524,0.00264,0.0791,0.0863,0.1367,0.1871,55.5,0.267,0.0,0.0917,0.555,0.4404,0.2936,0.945
101,오프라인 강화학습,Offline Reinforcement Learning,"강화학습, 제어",0,365,0.3725,-0.2345,-0.3278,0.00671,0.074,0.0411,0.0219,0.2247,47.7,0.351,0.0,0.1376,0.4771,0.367,0.5872,0.3394
102,객체 탐지와 개방 어휘 탐지,Object Detection and Open-Vocabulary Detection,"비전, 멀티모달",0,247,0.3656,-0.002,-0.1219,0.00519,0.0567,0.1012,0.1296,0.0243,28.4,0.254,0.0,0.5413,0.2844,0.1743,0.2569,0.5596
103,신경망 프루닝과 희소 학습,Network Pruning and Sparse Training,"효율, 시스템",0,123,0.3532,-0.3305,-0.4125,0.00202,0.1382,0.1707,0.1138,0.1382,43.1,0.271,0.0,0.0367,0.4312,0.9083,0.0826,0.9908
104,CNN 구조와 학습 기법,CNN Architectures and Training Techniques,"딥러닝의 과학, 해석",0,320,0.3445,-0.336,-0.4167,0.00526,0.1031,0.1031,0.0906,0.1062,57.3,0.243,0.0,0.0275,0.5734,0.7339,0.2294,0.5413
105,도메인 적응과 일반화,Domain Adaptation and Generalization,"연합, 연속, 전이 학습",0,131,0.3436,-0.3611,-0.439,0.00216,0.0611,0.0534,0.0305,0.1985,35.8,0.179,0.0,0.0092,0.3578,0.2385,0.5413,0.9817
106,모델 병합과 멀티태스크 학습,Model Merging and Multi-Task Learning,"연합, 연속, 전이 학습",0,204,0.3431,-0.1092,-0.2172,0.00465,0.098,0.2059,0.1471,0.1618,28.9,0.263,0.0,0.3578,0.289,0.6789,0.0367,0.6697
107,"퓨샷, 롱테일 분류",Few-Shot and Long-Tailed Classification,"연합, 연속, 전이 학습",0,245,0.3128,-0.2605,-0.3504,0.00454,0.098,0.0735,0.0327,0.1878,11.9,0.263,0.0,0.1009,0.1193,0.6697,0.3578,0.6881
108,연합학습 이질성과 개인화,Federated Learning under Heterogeneity,"연합, 연속, 전이 학습",0,402,0.3087,-0.1396,-0.2436,0.00801,0.0697,0.0423,0.0597,0.2164,4.6,0.169,0.0,0.3028,0.0459,0.3119,0.578,0.1743
109,이미지 분할과 SAM,Image Segmentation and SAM,"비전, 멀티모달",0,269,0.2922,-0.0668,-0.1782,0.00556,0.0743,0.1747,0.1636,0.0223,17.4,0.283,0.0,0.4404,0.1743,0.3761,0.0734,0.5046
,"LLM, VLM 환각 탐지와 완화",Hallucination Detection and Mitigation,"신뢰성, 안전, 프라이버시",1,168,,1.3902,1.0975,0.00567,0.1369,0.0833,0.9583,0.0357,,0.279,,,,,,
,LLM 에이전트 보안과 안전,LLM Agent Safety and Security,"신뢰성, 안전, 프라이버시",1,191,,1.9739,1.5993,0.00669,0.1152,0.1361,0.8796,0.0262,,0.252,,,,,,
